138539;Swiping Down
67237;Stop Sign
92918;Swiping Left
31061;Swiping Down
69070;Turning Hand Counterclockwise
12659;Swiping Down
75246;Doing other things
42165;Turning Hand Clockwise
94777;Swiping Up
59706;No gesture
81218;Turning Hand Counterclockwise
68980;Swiping Right
145772;No gesture
147987;Turning Hand Counterclockwise
26956;Stop Sign
23458;Swiping Down
127274;Swiping Down
110819;Turning Hand Counterclockwise
69992;Swiping Up
26726;Swiping Right
85947;No gesture
7504;No gesture
90028;Swiping Right
73454;Turning Hand Counterclockwise
98456;Turning Hand Counterclockwise
113216;Doing other things
94622;Swiping Up
50947;Turning Hand Counterclockwise
76147;Swiping Down
70151;Swiping Down
1634;Swiping Down
49539;Turning Hand Counterclockwise
1926;Swiping Right
35847;Swiping Right
5019;Swiping Right
52746;Stop Sign
104748;Turning Hand Clockwise
57582;Swiping Right
25265;Turning Hand Clockwise
3604;Swiping Left
110596;Turning Hand Counterclockwise
63655;Swiping Left
94510;Doing other things
143508;Swiping Up
63994;Swiping Up
133546;Turning Hand Counterclockwise
9217;Turning Hand Counterclockwise
59940;Stop Sign
97725;No gesture
63142;Doing other things
92920;Swiping Left
85968;Stop Sign
87534;No gesture
82869;No gesture
26693;Swiping Left
62219;Stop Sign
88344;Swiping Down
43851;Turning Hand Counterclockwise
68189;No gesture
143186;Swiping Left
118523;Turning Hand Counterclockwise
139315;Stop Sign
40160;Turning Hand Clockwise
35254;Swiping Right
137843;Stop Sign
119095;Swiping Down
39082;No gesture
116276;Turning Hand Counterclockwise
132417;Turning Hand Clockwise
35932;Doing other things
90168;Swiping Up
98270;Turning Hand Clockwise
19677;Stop Sign
145462;Stop Sign
402;Swiping Down
89535;Swiping Right
84897;Doing other things
64536;Doing other things
76920;Swiping Right
144460;Turning Hand Clockwise
115444;Stop Sign
19728;No gesture
119947;Stop Sign
67568;Swiping Left
127253;Swiping Right
64985;Swiping Right
101143;Swiping Right
105691;No gesture
126567;Doing other things
93909;Swiping Right
75455;Stop Sign
29073;Swiping Left
52616;Doing other things
114477;Stop Sign
115576;Turning Hand Counterclockwise
25563;Turning Hand Clockwise
99173;No gesture
61592;Swiping Up
14127;Swiping Right
6639;Swiping Left
126766;Swiping Right
147057;Swiping Left
85065;Turning Hand Clockwise
95900;Stop Sign
135185;Turning Hand Counterclockwise
131403;Swiping Down
100944;Stop Sign
146493;Turning Hand Clockwise
80569;Swiping Down
78376;Swiping Down
124687;Turning Hand Clockwise
108686;Swiping Left
7487;Swiping Right
84764;Swiping Right
146454;Doing other things
139755;No gesture
47578;Swiping Left
129999;Doing other things
4892;No gesture
43648;Swiping Down
145711;Turning Hand Counterclockwise
104013;Turning Hand Counterclockwise
87481;Swiping Left
136068;Doing other things
47626;No gesture
80701;Swiping Left
43225;Stop Sign
58765;Swiping Right
45203;Turning Hand Counterclockwise
133333;Turning Hand Counterclockwise
124869;Stop Sign
22322;Stop Sign
143380;Swiping Right
138766;Turning Hand Clockwise
58212;Doing other things
20812;Doing other things
